prompt_folder,prompt_text,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim,method,prompt_folder_norm,prompt_text_norm,prompt_key
a_pig_on_the_right_of_a_computer,a pig on the right of a computer,2.7116,2.9539,38.1282,0.9118,ourmethod,a_pig_on_the_right_of_a_computer,a pig on the right of a computer,a_pig_on_the_right_of_a_computer
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,2.3266,1.8203,34.589,0.8197,ourmethod,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_next_to_a_balloon,a rabbit next to a balloon,2.4999,1.5615,37.2321,0.8188,ourmethod,a_rabbit_next_to_a_balloon,a rabbit next to a balloon,a_rabbit_next_to_a_balloon
a_rabbit_next_to_a_microwave,a rabbit next to a microwave,2.488,2.9545,42.99,0.9055,ourmethod,a_rabbit_next_to_a_microwave,a rabbit next to a microwave,a_rabbit_next_to_a_microwave
a_rabbit_on_the_top_of_a_bicycle,a rabbit on the top of a bicycle,2.2229,1.5788,43.2637,0.7961,ourmethod,a_rabbit_on_the_top_of_a_bicycle,a rabbit on the top of a bicycle,a_rabbit_on_the_top_of_a_bicycle
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,2.1221,2.4151,39.7572,0.8665,ourmethod,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog,3.3641,1.961,34.5733,0.9229,ourmethod,a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog,a_refrigerator_on_the_bottom_of_a_dog
a_sheep_near_a_car,a sheep near a car,2.0784,2.7472,39.9415,0.9341,ourmethod,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_sheep_on_the_top_of_a_airplane,a sheep on the top of a airplane,3.0202,1.813,42.0654,0.9053,ourmethod,a_sheep_on_the_top_of_a_airplane,a sheep on the top of a airplane,a_sheep_on_the_top_of_a_airplane
a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,2.4867,1.7595,40.3643,0.838,ourmethod,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,a_sheep_on_the_top_of_a_backpack
a_sofa_on_the_top_of_a_boy,a sofa on the top of a boy,3.6126,3.1966,36.0506,0.8881,ourmethod,a_sofa_on_the_top_of_a_boy,a sofa on the top of a boy,a_sofa_on_the_top_of_a_boy
a_suitcase_on_the_top_of_a_frog,a suitcase on the top of a frog,2.4294,2.9836,40.8982,0.9469,ourmethod,a_suitcase_on_the_top_of_a_frog,a suitcase on the top of a frog,a_suitcase_on_the_top_of_a_frog
a_television_on_the_left_of_a_cow,a television on the left of a cow,2.7297,4.0164,42.3263,0.9265,ourmethod,a_television_on_the_left_of_a_cow,a television on the left of a cow,a_television_on_the_left_of_a_cow
a_television_on_the_left_of_a_fish,a television on the left of a fish,3.1044,3.9141,38.504,0.8197,ourmethod,a_television_on_the_left_of_a_fish,a television on the left of a fish,a_television_on_the_left_of_a_fish
a_television_on_the_right_of_a_cow,a television on the right of a cow,2.6798,4.5607,42.7968,0.9253,ourmethod,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,2.3537,2.2168,35.7172,0.9048,ourmethod,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_train_on_the_top_of_a_woman,a train on the top of a woman,3.7405,2.523,36.6616,0.8866,ourmethod,a_train_on_the_top_of_a_woman,a train on the top of a woman,a_train_on_the_top_of_a_woman
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.9503,2.4256,32.8891,0.9465,ourmethod,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,3.1764,2.5775,33.7978,0.8511,ourmethod,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_vase_on_the_left_of_a_pig,a vase on the left of a pig,2.8345,2.3959,35.287,0.8856,ourmethod,a_vase_on_the_left_of_a_pig,a vase on the left of a pig,a_vase_on_the_left_of_a_pig
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,3.0472,2.6592,37.6351,0.8818,ourmethod,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,4.4076,2.5144,37.4939,0.9273,ourmethod,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_wallet_on_the_top_of_a_person,a wallet on the top of a person,3.8661,3.4095,33.7146,0.9086,ourmethod,a_wallet_on_the_top_of_a_person,a wallet on the top of a person,a_wallet_on_the_top_of_a_person
a_woman_on_the_left_of_a_sheep,a woman on the left of a sheep,2.2362,2.6457,35.301,0.9208,ourmethod,a_woman_on_the_left_of_a_sheep,a woman on the left of a sheep,a_woman_on_the_left_of_a_sheep
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,2.6526,1.8993,39.8684,0.8468,cads,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,2.9744,2.3698,40.9505,0.9161,cads,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,3.4469,1.954,34.6592,0.9199,cads,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,a_bag_on_the_bottom_of_a_chicken
a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,3.8824,1.7422,36.2586,0.909,cads,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,a_bag_on_the_right_of_a_butterfly
a_balloon_on_the_top_of_a_giraffe,a balloon on the top of a giraffe,2.3411,1.4686,42.3645,0.6116,cads,a_balloon_on_the_top_of_a_giraffe,a balloon on the top of a giraffe,a_balloon_on_the_top_of_a_giraffe
a_bee_on_the_left_of_a_girl,a bee on the left of a girl,2.7916,1.9701,35.1106,0.8898,cads,a_bee_on_the_left_of_a_girl,a bee on the left of a girl,a_bee_on_the_left_of_a_girl
a_bee_on_the_left_of_a_phone,a bee on the left of a phone,2.1757,2.1471,37.4802,0.8363,cads,a_bee_on_the_left_of_a_phone,a bee on the left of a phone,a_bee_on_the_left_of_a_phone
a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,2.5315,1.7257,36.4577,0.8062,cads,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,a_bee_on_the_top_of_a_airplane
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,2.9193,1.5379,32.7471,0.8283,cads,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_bicycle_on_the_left_of_a_girl,a bicycle on the left of a girl,2.5551,2.0141,32.4375,0.873,cads,a_bicycle_on_the_left_of_a_girl,a bicycle on the left of a girl,a_bicycle_on_the_left_of_a_girl
a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,2.8979,1.5323,41.7656,0.8479,cads,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,a_bicycle_on_the_top_of_a_chicken
a_bird_on_the_bottom_of_a_suitcase,a bird on the bottom of a suitcase,2.7058,2.5205,39.0329,0.8765,cads,a_bird_on_the_bottom_of_a_suitcase,a bird on the bottom of a suitcase,a_bird_on_the_bottom_of_a_suitcase
a_bowl_on_the_left_of_a_man,a bowl on the left of a man,4.08,2.671,30.3635,0.9208,cads,a_bowl_on_the_left_of_a_man,a bowl on the left of a man,a_bowl_on_the_left_of_a_man
a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,3.202,2.1852,32.1535,0.915,cads,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,a_bowl_on_the_right_of_a_chicken
a_boy_on_the_bottom_of_a_lamp,a boy on the bottom of a lamp,3.4436,1.9155,39.6009,0.7328,cads,a_boy_on_the_bottom_of_a_lamp,a boy on the bottom of a lamp,a_boy_on_the_bottom_of_a_lamp
a_boy_on_the_top_of_a_bag,a boy on the top of a bag,3.7001,1.5441,38.4368,0.5901,cads,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,a_boy_on_the_top_of_a_bag
a_car_on_the_top_of_a_turtle,a car on the top of a turtle,2.8561,1.9698,36.5105,0.8399,cads,a_car_on_the_top_of_a_turtle,a car on the top of a turtle,a_car_on_the_top_of_a_turtle
a_cat_near_a_table,a cat near a table,2.51,2.5874,33.6293,0.9143,cads,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,2.5495,3.6987,35.9034,0.887,cads,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_near_a_desk,a chicken near a desk,2.1114,3.1055,39.2422,0.9409,cads,a_chicken_near_a_desk,a chicken near a desk,a_chicken_near_a_desk
a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,2.3862,3.0073,38.5159,0.9219,cads,a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,a_chicken_on_the_bottom_of_a_desk
a_chicken_on_the_top_of_a_balloon,a chicken on the top of a balloon,2.8882,1.5788,40.4553,0.6187,cads,a_chicken_on_the_top_of_a_balloon,a chicken on the top of a balloon,a_chicken_on_the_top_of_a_balloon
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,2.6198,1.7833,42.3451,0.8559,cads,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,3.7555,2.8533,36.2828,0.9381,cads,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,a_computer_on_the_bottom_of_a_horse
a_computer_on_the_left_of_a_pig,a computer on the left of a pig,2.622,2.8097,38.7783,0.9373,cads,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,a_computer_on_the_left_of_a_pig
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,3.4078,2.1617,41.8588,0.8872,cads,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,2.4683,2.4372,36.9614,0.8679,cads,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,2.3772,1.82,39.4319,0.8922,cads,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_cow_next_to_a_train,a cow next to a train,2.4686,2.4808,41.2269,0.8628,cads,a_cow_next_to_a_train,a cow next to a train,a_cow_next_to_a_train
a_cow_on_the_bottom_of_a_man,a cow on the bottom of a man,2.592,2.0478,32.994,0.9086,cads,a_cow_on_the_bottom_of_a_man,a cow on the bottom of a man,a_cow_on_the_bottom_of_a_man
a_cup_on_the_left_of_a_fish,a cup on the left of a fish,3.6579,2.0936,36.7281,0.8606,cads,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,a_cup_on_the_left_of_a_fish
a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,3.8013,2.0277,35.1582,0.8359,cads,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,a_dog_on_the_top_of_a_suitcase
a_fish_on_side_of_a_painting,a fish on side of a painting,2.7812,2.0855,32.2231,0.931,cads,a_fish_on_side_of_a_painting,a fish on side of a painting,a_fish_on_side_of_a_painting
a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,3.0224,2.5876,37.7035,0.8984,cads,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,a_fish_on_the_left_of_a_microwave
a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,3.1715,2.2758,36.158,0.9099,cads,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,a_fish_on_the_top_of_a_bowl
a_giraffe_near_a_key,a giraffe near a key,3.4916,1.4896,39.4691,0.942,cads,a_giraffe_near_a_key,a giraffe near a key,a_giraffe_near_a_key
a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,2.6741,1.7754,38.4575,0.823,cads,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,a_giraffe_on_the_left_of_a_lamp
a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,2.3183,1.946,38.8199,0.9206,cads,a_giraffe_on_the_right_of_a_girl,a giraffe on the right of a girl,a_giraffe_on_the_right_of_a_girl
a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,3.1453,2.3459,37.5467,0.9523,cads,a_giraffe_on_the_right_of_a_phone,a giraffe on the right of a phone,a_giraffe_on_the_right_of_a_phone
a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,2.7386,1.5139,37.3192,0.8307,cads,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,a_giraffe_on_the_top_of_a_man
a_girl_on_the_left_of_a_bee,a girl on the left of a bee,3.5434,1.9854,33.0069,0.8987,cads,a_girl_on_the_left_of_a_bee,a girl on the left of a bee,a_girl_on_the_left_of_a_bee
a_girl_on_the_left_of_a_frog,a girl on the left of a frog,2.4195,2.5501,37.5186,0.9419,cads,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,a_girl_on_the_left_of_a_frog
a_horse_near_a_lamp,a horse near a lamp,3.1364,2.7856,39.3228,0.894,cads,a_horse_near_a_lamp,a horse near a lamp,a_horse_near_a_lamp
a_horse_on_the_right_of_a_man,a horse on the right of a man,2.3926,2.4889,34.1373,0.8723,cads,a_horse_on_the_right_of_a_man,a horse on the right of a man,a_horse_on_the_right_of_a_man
a_key_on_the_top_of_a_frog,a key on the top of a frog,2.4019,1.6996,38.9106,0.8868,cads,a_key_on_the_top_of_a_frog,a key on the top of a frog,a_key_on_the_top_of_a_frog
a_man_on_side_of_a_clock,a man on side of a clock,2.6887,2.3689,33.7685,0.9406,cads,a_man_on_side_of_a_clock,a man on side of a clock,a_man_on_side_of_a_clock
a_man_on_the_right_of_a_plate,a man on the right of a plate,3.965,2.7448,30.5961,0.9432,cads,a_man_on_the_right_of_a_plate,a man on the right of a plate,a_man_on_the_right_of_a_plate
a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,2.5763,2.5119,40.7231,0.9081,cads,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,a_microwave_on_the_bottom_of_a_rabbit
a_mouse_on_the_bottom_of_a_painting,a mouse on the bottom of a painting,2.3874,1.7805,37.9894,0.8343,cads,a_mouse_on_the_bottom_of_a_painting,a mouse on the bottom of a painting,a_mouse_on_the_bottom_of_a_painting
a_painting_on_the_left_of_a_horse,a painting on the left of a horse,2.5545,2.2939,29.1054,0.9321,cads,a_painting_on_the_left_of_a_horse,a painting on the left of a horse,a_painting_on_the_left_of_a_horse
a_painting_on_the_right_of_a_bee,a painting on the right of a bee,3.0793,2.2131,33.6773,0.9514,cads,a_painting_on_the_right_of_a_bee,a painting on the right of a bee,a_painting_on_the_right_of_a_bee
a_painting_on_the_right_of_a_woman,a painting on the right of a woman,3.9557,2.4776,31.1618,0.9429,cads,a_painting_on_the_right_of_a_woman,a painting on the right of a woman,a_painting_on_the_right_of_a_woman
a_person_next_to_a_airplane,a person next to a airplane,3.1135,2.2264,31.9178,0.8776,cads,a_person_next_to_a_airplane,a person next to a airplane,a_person_next_to_a_airplane
a_person_on_the_left_of_a_microwave,a person on the left of a microwave,2.4011,2.8639,34.7158,0.8841,cads,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,a_person_on_the_left_of_a_microwave
a_phone_on_the_left_of_a_boy,a phone on the left of a boy,3.904,2.9434,33.4736,0.9386,cads,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,a_phone_on_the_left_of_a_boy
a_pig_on_side_of_a_wallet,a pig on side of a wallet,2.6723,2.2186,38.1288,0.9122,cads,a_pig_on_side_of_a_wallet,a pig on side of a wallet,a_pig_on_side_of_a_wallet
a_pig_on_the_right_of_a_computer,a pig on the right of a computer,2.444,3.145,38.5369,0.931,cads,a_pig_on_the_right_of_a_computer,a pig on the right of a computer,a_pig_on_the_right_of_a_computer
a_plate_on_the_right_of_a_bee,a plate on the right of a bee,2.5396,1.7592,34.5673,0.8728,cads,a_plate_on_the_right_of_a_bee,a plate on the right of a bee,a_plate_on_the_right_of_a_bee
a_rabbit_next_to_a_balloon,a rabbit next to a balloon,2.1486,1.6259,36.2855,0.8174,cads,a_rabbit_next_to_a_balloon,a rabbit next to a balloon,a_rabbit_next_to_a_balloon
a_rabbit_next_to_a_microwave,a rabbit next to a microwave,2.244,3.0646,44.1386,0.9142,cads,a_rabbit_next_to_a_microwave,a rabbit next to a microwave,a_rabbit_next_to_a_microwave
a_rabbit_on_the_top_of_a_bicycle,a rabbit on the top of a bicycle,2.3141,1.6053,43.3471,0.8358,cads,a_rabbit_on_the_top_of_a_bicycle,a rabbit on the top of a bicycle,a_rabbit_on_the_top_of_a_bicycle
a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,1.9889,1.7408,39.4316,0.754,cads,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,a_rabbit_on_the_top_of_a_book
a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog,3.8517,1.9466,38.2263,0.917,cads,a_refrigerator_on_the_bottom_of_a_dog,a refrigerator on the bottom of a dog,a_refrigerator_on_the_bottom_of_a_dog
a_sheep_near_a_car,a sheep near a car,2.0136,2.5444,40.0565,0.8682,cads,a_sheep_near_a_car,a sheep near a car,a_sheep_near_a_car
a_sheep_on_the_top_of_a_airplane,a sheep on the top of a airplane,3.1465,1.861,42.2908,0.8617,cads,a_sheep_on_the_top_of_a_airplane,a sheep on the top of a airplane,a_sheep_on_the_top_of_a_airplane
a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,2.6555,1.7019,40.9067,0.7608,cads,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,a_sheep_on_the_top_of_a_backpack
a_sofa_on_the_top_of_a_boy,a sofa on the top of a boy,3.2024,2.2166,35.4908,0.8423,cads,a_sofa_on_the_top_of_a_boy,a sofa on the top of a boy,a_sofa_on_the_top_of_a_boy
a_suitcase_on_the_top_of_a_frog,a suitcase on the top of a frog,2.7122,2.3474,40.9026,0.8558,cads,a_suitcase_on_the_top_of_a_frog,a suitcase on the top of a frog,a_suitcase_on_the_top_of_a_frog
a_television_on_the_left_of_a_cow,a television on the left of a cow,3.0938,3.2179,41.5139,0.8956,cads,a_television_on_the_left_of_a_cow,a television on the left of a cow,a_television_on_the_left_of_a_cow
a_television_on_the_left_of_a_fish,a television on the left of a fish,3.2124,3.2123,37.1201,0.8508,cads,a_television_on_the_left_of_a_fish,a television on the left of a fish,a_television_on_the_left_of_a_fish
a_television_on_the_right_of_a_cow,a television on the right of a cow,3.1474,3.0704,41.6387,0.898,cads,a_television_on_the_right_of_a_cow,a television on the right of a cow,a_television_on_the_right_of_a_cow
a_train_on_the_left_of_a_boy,a train on the left of a boy,2.6238,2.2965,35.6699,0.8949,cads,a_train_on_the_left_of_a_boy,a train on the left of a boy,a_train_on_the_left_of_a_boy
a_train_on_the_top_of_a_woman,a train on the top of a woman,4.0461,2.1084,32.6876,0.8713,cads,a_train_on_the_top_of_a_woman,a train on the top of a woman,a_train_on_the_top_of_a_woman
a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,2.3425,2.4832,33.3602,0.9203,cads,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,a_turtle_on_the_left_of_a_painting
a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,3.1617,1.628,33.9613,0.8001,cads,a_vase_on_the_bottom_of_a_chicken,a vase on the bottom of a chicken,a_vase_on_the_bottom_of_a_chicken
a_vase_on_the_left_of_a_pig,a vase on the left of a pig,2.416,1.752,38.0187,0.8437,cads,a_vase_on_the_left_of_a_pig,a vase on the left of a pig,a_vase_on_the_left_of_a_pig
a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,3.4397,1.8196,38.207,0.8048,cads,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,a_wallet_on_the_right_of_a_bee
a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,3.9969,2.1458,38.2199,0.8384,cads,a_wallet_on_the_right_of_a_dog,a wallet on the right of a dog,a_wallet_on_the_right_of_a_dog
a_wallet_on_the_top_of_a_person,a wallet on the top of a person,3.3609,2.2521,33.8909,0.752,cads,a_wallet_on_the_top_of_a_person,a wallet on the top of a person,a_wallet_on_the_top_of_a_person
a_woman_on_the_left_of_a_sheep,a woman on the left of a sheep,2.6086,2.2916,35.1174,0.8943,cads,a_woman_on_the_left_of_a_sheep,a woman on the left of a sheep,a_woman_on_the_left_of_a_sheep
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,2.6879,1.9231,39.6835,0.8861,pg,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,3.316,2.1132,40.4038,0.8965,pg,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,3.4684,2.0872,33.444,0.9341,pg,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,a_bag_on_the_bottom_of_a_chicken
a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,3.6703,2.0257,36.1523,0.8839,pg,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,a_bag_on_the_right_of_a_butterfly
a_balloon_on_the_top_of_a_giraffe,a balloon on the top of a giraffe,2.5576,1.335,42.1777,0.5729,pg,a_balloon_on_the_top_of_a_giraffe,a balloon on the top of a giraffe,a_balloon_on_the_top_of_a_giraffe
a_bee_on_the_left_of_a_girl,a bee on the left of a girl,3.4847,1.7262,34.2603,0.9031,pg,a_bee_on_the_left_of_a_girl,a bee on the left of a girl,a_bee_on_the_left_of_a_girl
a_bee_on_the_left_of_a_phone,a bee on the left of a phone,2.7003,2.321,38.7015,0.8209,pg,a_bee_on_the_left_of_a_phone,a bee on the left of a phone,a_bee_on_the_left_of_a_phone
a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,2.2164,1.5922,36.8384,0.7634,pg,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,a_bee_on_the_top_of_a_airplane
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,3.2377,1.5603,37.6815,0.7349,pg,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_bicycle_on_the_left_of_a_girl,a bicycle on the left of a girl,2.5329,1.9083,32.0563,0.9418,pg,a_bicycle_on_the_left_of_a_girl,a bicycle on the left of a girl,a_bicycle_on_the_left_of_a_girl
a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,2.8999,1.5025,41.7911,0.7955,pg,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,a_bicycle_on_the_top_of_a_chicken
a_bird_on_the_bottom_of_a_suitcase,a bird on the bottom of a suitcase,2.5632,3.1466,38.964,0.9357,pg,a_bird_on_the_bottom_of_a_suitcase,a bird on the bottom of a suitcase,a_bird_on_the_bottom_of_a_suitcase
a_bowl_on_the_left_of_a_man,a bowl on the left of a man,3.9927,3.1979,32.088,0.9057,pg,a_bowl_on_the_left_of_a_man,a bowl on the left of a man,a_bowl_on_the_left_of_a_man
a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,2.7112,2.3989,30.4251,0.9277,pg,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,a_bowl_on_the_right_of_a_chicken
a_boy_on_the_bottom_of_a_lamp,a boy on the bottom of a lamp,3.264,4.371,39.0704,0.8228,pg,a_boy_on_the_bottom_of_a_lamp,a boy on the bottom of a lamp,a_boy_on_the_bottom_of_a_lamp
a_boy_on_the_top_of_a_bag,a boy on the top of a bag,3.7544,1.8095,38.1778,0.6275,pg,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,a_boy_on_the_top_of_a_bag
a_car_on_the_top_of_a_turtle,a car on the top of a turtle,3.0534,1.9778,35.9756,0.8459,pg,a_car_on_the_top_of_a_turtle,a car on the top of a turtle,a_car_on_the_top_of_a_turtle
a_cat_near_a_table,a cat near a table,2.4393,2.9983,34.3931,0.915,pg,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,2.6323,3.7688,36.5288,0.905,pg,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_near_a_desk,a chicken near a desk,2.0767,3.3838,39.1309,0.9296,pg,a_chicken_near_a_desk,a chicken near a desk,a_chicken_near_a_desk
a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,2.488,3.3383,38.6704,0.8774,pg,a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,a_chicken_on_the_bottom_of_a_desk
a_chicken_on_the_top_of_a_balloon,a chicken on the top of a balloon,3.0974,1.4404,40.3886,0.6247,pg,a_chicken_on_the_top_of_a_balloon,a chicken on the top of a balloon,a_chicken_on_the_top_of_a_balloon
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,2.2033,1.7748,41.8617,0.8833,pg,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,4.0216,3.6447,36.3303,0.9387,pg,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,a_computer_on_the_bottom_of_a_horse
a_computer_on_the_left_of_a_pig,a computer on the left of a pig,2.7002,2.9257,38.0259,0.9246,pg,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,a_computer_on_the_left_of_a_pig
a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,3.1626,2.1495,40.9218,0.8448,pg,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,a_computer_on_the_top_of_a_sheep
a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,2.4236,3.1177,35.0335,0.9045,pg,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,a_couch_on_the_right_of_a_turtle
a_cow_near_a_balloon,a cow near a balloon,2.6385,1.6103,39.8838,0.8232,pg,a_cow_near_a_balloon,a cow near a balloon,a_cow_near_a_balloon
a_cow_next_to_a_train,a cow next to a train,2.5626,2.2274,42.4582,0.9172,pg,a_cow_next_to_a_train,a cow next to a train,a_cow_next_to_a_train
a_cow_on_the_bottom_of_a_man,a cow on the bottom of a man,2.9169,2.3696,31.4497,0.903,pg,a_cow_on_the_bottom_of_a_man,a cow on the bottom of a man,a_cow_on_the_bottom_of_a_man
a_cup_on_the_left_of_a_fish,a cup on the left of a fish,3.365,2.4789,34.166,0.8565,pg,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,a_cup_on_the_left_of_a_fish
a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,3.525,2.2606,34.9644,0.8818,pg,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,a_dog_on_the_top_of_a_suitcase
